graph_name,total_depth,mean_depth,relative_asymmetry
41229,-9.0,-0.6428571428571429,-0.25274725274725274
18958,10.0,0.8333333333333334,-0.030303030303030297
135588,26.0,2.888888888888889,0.4722222222222222
56599,29.0,2.0714285714285716,0.16483516483516486
5565,12.0,2.0,0.4
8844,28.0,3.111111111111111,0.5277777777777778
102751,17.0,2.125,0.32142857142857145
144175,11.0,1.375,0.10714285714285714
60478,7.0,1.1666666666666667,0.0666666666666667
40826,6.0,0.8571428571428571,-0.04761904761904764
146915,24.0,2.6666666666666665,0.41666666666666663
70673,12.0,1.7142857142857142,0.23809523809523805
7300,17.0,2.4285714285714284,0.4761904761904761
108794,11.0,1.375,0.10714285714285714
97859,9.0,0.9,-0.022222222222222216
30162,16.0,2.0,0.2857142857142857
97494,6.0,0.8571428571428571,-0.04761904761904764
11496,18.0,2.0,0.25
96120,17.0,1.8888888888888888,0.2222222222222222
57251,27.0,2.7,0.3777777777777778
60778,5.0,0.8333333333333334,-0.06666666666666665
66820,-4.0,-0.6666666666666666,-0.6666666666666666
100310,16.0,1.7777777777777777,0.19444444444444442
34902,5.0,0.8333333333333334,-0.06666666666666665
97408,21.0,1.6153846153846154,0.10256410256410257
109553,13.0,1.625,0.17857142857142858
135513,18.0,2.25,0.35714285714285715
136943,14.0,1.75,0.21428571428571427
65512,13.0,1.625,0.17857142857142858
41444,19.0,2.111111111111111,0.2777777777777778
6289,15.0,2.5,0.6
97578,15.0,1.1538461538461537,0.025641025641025623
65772,14.0,1.75,0.21428571428571427
58178,17.0,1.8888888888888888,0.2222222222222222
16155,9.0,1.8,0.4
60566,29.0,2.9,0.4222222222222222
60536,-2.0,-0.18181818181818182,-0.2363636363636364
15973,18.0,1.8,0.17777777777777778
42678,20.0,2.0,0.2222222222222222
95841,17.0,1.8888888888888888,0.2222222222222222
97609,20.0,2.2222222222222223,0.3055555555555556
106675,21.0,2.3333333333333335,0.33333333333333337
7319,15.0,2.142857142857143,0.38095238095238093
67408,23.0,2.5555555555555554,0.38888888888888884
27105,15.0,2.5,0.6
20836,19.0,2.7142857142857144,0.5714285714285715
31907,17.0,1.8888888888888888,0.2222222222222222
24402,8.0,0.7272727272727273,-0.05454545454545454
96832,18.0,1.8,0.17777777777777778
135434,18.0,2.25,0.35714285714285715
71318,-1.0,-0.16666666666666666,-0.4666666666666667
44265,5.0,0.5,-0.1111111111111111
38258,-1.0,-0.16666666666666666,-0.4666666666666667
100798,6.0,1.2,0.09999999999999998
8964,20.0,2.5,0.42857142857142855
14111,27.0,2.7,0.3777777777777778
18006,17.0,2.125,0.32142857142857145
94408,12.0,1.0909090909090908,0.018181818181818167
142411,12.0,1.3333333333333333,0.08333333333333331
66652,11.0,1.1,0.02222222222222224
100640,20.0,2.0,0.2222222222222222
30768,1.0,0.14285714285714285,-0.28571428571428575
34539,-8.0,-0.6153846153846154,-0.2692307692307692
43895,-4.0,-0.4444444444444444,-0.3611111111111111
22971,22.0,2.75,0.5
11748,15.0,2.142857142857143,0.38095238095238093
70553,32.0,3.2,0.48888888888888893
50795,-5.0,-0.5,-0.3333333333333333
39564,11.0,1.1,0.02222222222222224
34116,15.0,1.875,0.25
139360,15.0,2.142857142857143,0.38095238095238093
33346,9.0,2.25,0.8333333333333334
57261,4.0,0.5714285714285714,-0.14285714285714288
109551,9.0,1.125,0.03571428571428571
34158,15.0,1.875,0.25
144274,20.0,2.0,0.2222222222222222
22887,16.0,1.6,0.13333333333333336
142515,7.0,1.0,0.0
31454,16.0,1.6,0.13333333333333336
39620,15.0,1.5,0.1111111111111111
40195,20.0,2.0,0.2222222222222222
71037,17.0,1.5454545454545454,0.10909090909090909
27223,12.0,1.5,0.14285714285714285
14016,23.0,2.875,0.5357142857142857
147980,23.0,1.7692307692307692,0.1282051282051282
65891,17.0,2.125,0.32142857142857145
68405,0.0,0.0,-0.2857142857142857
39040,33.0,2.5384615384615383,0.2564102564102564
67313,0.0,0.0,-0.3333333333333333
10690,24.0,2.1818181818181817,0.23636363636363633
10156,12.0,1.3333333333333333,0.08333333333333331
40995,9.0,2.25,0.8333333333333334
10781,-3.0,-0.2727272727272727,-0.2545454545454545
71383,13.0,1.3,0.06666666666666668
49426,22.0,2.75,0.5
28656,8.0,0.8,-0.04444444444444443
66519,26.0,2.6,0.35555555555555557
57892,17.0,1.5454545454545454,0.10909090909090909
142835,14.0,1.5555555555555556,0.1388888888888889
134549,30.0,2.727272727272727,0.3454545454545454
100347,16.0,1.7777777777777777,0.19444444444444442
21048,16.0,1.6,0.13333333333333336
70035,3.0,0.375,-0.17857142857142858
101331,7.0,0.6363636363636364,-0.07272727272727272
99371,10.0,0.625,-0.05
106493,19.0,2.111111111111111,0.2777777777777778
57299,9.0,1.5,0.2
106722,21.0,2.3333333333333335,0.33333333333333337
71395,8.0,0.8888888888888888,-0.02777777777777779
50772,5.0,0.7142857142857143,-0.09523809523809523
67233,17.0,1.8888888888888888,0.2222222222222222
10656,19.0,2.7142857142857144,0.5714285714285715
93980,22.0,1.8333333333333333,0.1515151515151515
57466,13.0,1.4444444444444444,0.1111111111111111
22152,24.0,2.4,0.3111111111111111
69349,10.0,0.9090909090909091,-0.018181818181818188
60161,7.0,1.1666666666666667,0.0666666666666667
7329,18.0,2.5714285714285716,0.5238095238095238
15933,13.0,1.8571428571428572,0.28571428571428575
96378,8.0,0.6666666666666666,-0.060606060606060615
19729,41.0,2.7333333333333334,0.24761904761904763
100306,16.0,1.7777777777777777,0.19444444444444442
57592,19.0,1.7272727272727273,0.14545454545454545
33695,17.0,1.5454545454545454,0.10909090909090909
69460,13.0,2.6,0.8
26896,21.0,1.9090909090909092,0.18181818181818182
100270,22.0,2.4444444444444446,0.36111111111111116
154379,16.0,1.6,0.13333333333333336
15942,17.0,1.8888888888888888,0.2222222222222222
13287,21.0,2.3333333333333335,0.33333333333333337
18237,1.0,0.25,-0.5
21063,18.0,1.5,0.09090909090909091
24369,-5.0,-0.5,-0.3333333333333333
27471,16.0,2.0,0.2857142857142857
21737,13.0,0.9285714285714286,-0.010989010989010985
18330,7.0,0.7777777777777778,-0.05555555555555555
33035,9.0,1.8,0.4
95411,12.0,1.3333333333333333,0.08333333333333331
100397,22.0,2.0,0.2
26668,19.0,2.7142857142857144,0.5714285714285715
51681,5.0,0.5,-0.1111111111111111
143729,17.0,2.4285714285714284,0.4761904761904761
21104,13.0,2.1666666666666665,0.4666666666666666
153522,20.0,1.8181818181818181,0.16363636363636364
53168,15.0,2.5,0.6
70938,17.0,1.5454545454545454,0.10909090909090909
11691,0.0,0.0,-0.25
135524,18.0,2.25,0.35714285714285715
6172,-4.0,-0.4444444444444444,-0.3611111111111111
8569,11.0,1.1,0.02222222222222224
20957,17.0,2.4285714285714284,0.4761904761904761
10740,2.0,0.3333333333333333,-0.2666666666666667
21655,10.0,1.4285714285714286,0.14285714285714288
38608,0.0,0.0,-0.3333333333333333
38011,22.0,2.2,0.2666666666666667
71357,8.0,0.8888888888888888,-0.02777777777777779
142177,13.0,1.4444444444444444,0.1111111111111111
58613,14.0,2.0,0.3333333333333333
145522,22.0,2.75,0.5
42494,16.0,2.0,0.2857142857142857
136921,15.0,1.6666666666666667,0.16666666666666669
4969,11.0,1.375,0.10714285714285714
56061,24.0,2.4,0.3111111111111111
153528,13.0,1.4444444444444444,0.1111111111111111
104739,23.0,1.9166666666666667,0.16666666666666669
53762,23.0,2.090909090909091,0.21818181818181817
59798,2.0,0.2857142857142857,-0.2380952380952381
49723,18.0,2.0,0.25
19746,28.0,2.1538461538461537,0.1923076923076923
